ID,Name,Result
1041354,AcessA3rio T - Jean Bag For Girls para DS Lite,Non-Smartphone Related
1041782,Carrinho de BebAa BerAo-Passeio - Pegasus Pink - Galzerano,Non-Smartphone Related
1041834,Carrinho de BebAa para GAameos BerAo-Passeio - Twin - Galzerano,Non-Smartphone Related
1042568,Car Center - Calesita,Non-Smartphone Related
1042584,Donka Trem com Som - Calesita,Non-Smartphone Related
1043696,Interfone HDL AZ-01 Branco,Non-Smartphone Related
1940486,"Smartphone LG Optimus L7 II Dual P716 Preto com Dual Chip, Tela de 4.3a, Android 4.1, CAmera 8MP, 3G, Wi-Fi, aGPS, Bluetooth e CartAo 4GB - Celular LG Optimus L7 II Dual",Smartphone Related
2277815,"Smartphone Samsung Galaxy S4 Mini Duos Preto com Dual Chip, Tela 4.3"", Android 4.2, CAmera 8MP e Processador Dual Core de 1.7 Ghz - Claro - Galaxy S4 Mini Duos",Smartphone Related
2961097,"Smartphone  Samsung Galaxy S5 SM-G900M Branco com Tela 5.1"", Android 4.4, 4G, CAmera 16MP e Processador Quad Core 2.5GHz",Smartphone Related
2961099,"Smartphone  Samsung Galaxy S5 SM-G900M Dourado com Tela 5.1"", Android 4.4, 4G, CAmera 16MP e Processador Quad Core 2.5GHz",Smartphone Related
3031744,"Smartphone LG L90 Dual D410 Preto com Tela de 4.7a, Dual Chip, Android 4.4, CAmera 8MP e Processador Quad Core de 1.2 GHz",Smartphone Related
3076120,"Smartphone  Samsung Galaxy Core Plus Branco com Tela 4.3"", TV Digital, Dual Chip, Android 4.3, Processador Dual Core 1.2 Ghz e CAmera de 5MP",Smartphone Related
3507499,"Smartphone Samsung Galaxy Pocket 2 Duos SM-G110B Branco com Dual Chip, Android 4.4, Wi-Fi, 3G, GPS, CAmera 2MP, FM, MP3 e Bluetooth",Smartphone Related
3507899,"Smartphone  Samsung Galaxy S5 Duos SM-G900 Preto com Dual Chip,Tela 5.1"", Android 4.4, 4G, CAmera 16MP e Processador Quad Core 2.5GHz",Smartphone Related
3580503,"Smartphone Samsung Galaxy Ace 4 Lite Duos G313M Preto com Tela de 4a, Dual Chip, Android 4.4, CAmera 3MP, 3G, WiFi e Processador de 1GHz",Smartphone Related
3608270,"Smartphone LG G2 Lite D295 Branco com Tela de 4.5a, Dual Chip, Android 4.4, CAmera 8MP, 3G e Processador Quad Core de 1.2GHz",Smartphone Related
3638254,"Smartphone Samsung Galaxy Young 2 Duos G130M Branco com Tela 3.5"", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, RAdio FM e CAmera de 3MP.",Smartphone Related
3638255,"Smartphone Samsung Galaxy Young 2 Duos G130M Cinza com Tela 3.5"", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, RAdio FM e CAmera de 3MP.",Smartphone Related
3842557,"Smartphone Alcatel One Touch Pop C7 Branco com Tela 5a, Dual Chip, CAmera 8MP, Android 4.2, 3G e Processador Quad Core de 1.3 Ghz - Vivo",Smartphone Related
4174797,"Smartphone Samsung Galaxy Win 2 Duos TV Branco com Dual Chip, Tela de 4.5"", TV Digital, Android 4.4, CAm. de 5MP e Processador Quad Core de1.2 Ghz",Smartphone Related
